item_id,legalbench_task,ground_truth,expert,naive_calm,naive_distressed,flip_type,expert_scenario,naive_calm_scenario,naive_distressed_scenario
diversity_2__test__293,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Sophia is from North Carolina. Ava is from Iowa. Amelia is from Hawaii. Sophia sues Ava and Amelia each for securities fraud for $44,000. Is there diversity jurisdiction?
A:","Q: Sophia lives in North Carolina. Ava lives in Iowa. Amelia lives in Hawaii. Sophia is suing both Ava and Amelia, and she wants $44,000 from each of them for securities fraud. Can Sophia bring this case in federal court based on the parties being from different states? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need help understanding it. So Sophia lives in North Carolina, and she's suing two people — Ava, who lives in Iowa, and Amelia, who lives in Hawaii. The lawsuit is for securities fraud and Sophia wants $44,000 from each of them. Can Sophia even bring this in federal court just because they're all from different states? I'm so confused and I really need to know if that's possible. Is there diversity jurisdiction?
A:"
diversity_2__test__34,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Liam is from Alaska. Sophia is from Wyoming. Isabella is from Hawaii. Liam sues Sophia and Isabella each for medical malpractice for $72,000. Is there diversity jurisdiction?
A:","Q: Liam lives in Alaska. Sophia lives in Wyoming. Isabella lives in Hawaii. Liam wants to sue both Sophia and Isabella for medical malpractice, and he is asking for $72,000 from each of them. Would a federal court be able to hear this case? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I don't know where to turn. I live in Alaska and I need to sue two people for medical malpractice and I just don't know if I'm even going about this the right way. One of them, Sophia, lives in Wyoming, and the other one, Isabella, lives in Hawaii. I want to sue both of them and I'm asking for $72,000 from each of them. I just — can a federal court even hear something like this? Please, I really need to know. Is there diversity jurisdiction?
A:"
diversity_2__test__7,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Liam is from Kansas. Elijah is from Arizona. Isabella is from Utah. Liam sues Elijah and Isabella each for securities fraud for $61,000. Is there diversity jurisdiction?
A:","Q: Liam lives in Kansas. Elijah lives in Arizona. Isabella lives in Utah. Liam is suing both Elijah and Isabella, and he's asking for $61,000 from each of them for securities fraud. Would a federal court be able to hear this case based on the parties being from different states? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and confused about this whole situation so I'm sorry if this is hard to follow. Okay so Liam lives in Kansas, and he's suing two people, Elijah who lives in Arizona and Isabella who lives in Utah. He's asking for $61,000 from each of them and it's for securities fraud. I just really need to know, like would a federal court even be able to take this case just because the people are all from different states? I'm so worried about this please help. Is there diversity jurisdiction?
A:"
diversity_2__test__70,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Henry is from Illinois. Liam is from Alabama. Ava is from Oklahoma. Henry sues Liam and Ava each for trespass for $44,000. Is there diversity jurisdiction?
A:","Q: Henry lives in Illinois. Liam lives in Alabama. Ava lives in Oklahoma. Henry is suing both Liam and Ava for trespassing, and he wants $44,000 from each of them. Can the federal court hear this case? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need help understanding if I'm even in the right place. So Henry lives in Illinois, and the two people he's suing — Liam and Ava — they live in Alabama and Oklahoma. Henry wants $44,000 from each of them for trespassing. Can a federal court even hear something like this? I just don't know where to turn and I really need to know if this is possible or not. Is there diversity jurisdiction?
A:"
diversity_2__test__292,diversity_2,No,True,False,False,expert_correct_calm_wrong,"Q: Isabella is from Maine. Elijah is from New Mexico. Benjamin is from Minnesota. Isabella sues Elijah and Benjamin each for trademark infringement for $48,000. Is there diversity jurisdiction?
A:","Q: Isabella lives in Maine. Elijah lives in New Mexico. Benjamin lives in Minnesota. Isabella is suing both Elijah and Benjamin, and she wants $48,000 from each of them for using her trademark without permission. Can a federal court hear this case based on the parties being from different states? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need help understanding if I'm even in the right place with this lawsuit. So I live in Maine, and I'm suing two people — one named Elijah who lives in New Mexico, and one named Benjamin who lives in Minnesota. I'm asking for $48,000 from each of them for using my trademark without permission. I guess what I'm panicking about is whether a federal court can even hear this based on the parties being from different states? Like does that work here? I'm so confused and worried I'm doing this wrong. Is there diversity jurisdiction?
A:"
diversity_2__test__103,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Noah is from West Virginia. James is from Ohio. Mia is from Hawaii. Noah sues James and Mia each for breach of contract for $6,581,000. Is there diversity jurisdiction?
A:","Q: Noah lives in West Virginia. James lives in Ohio. Mia lives in Hawaii. Noah is suing both James and Mia for breaking a contract, and he is asking for $6,581,000 from each of them. Can this case be heard in federal court? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help understanding this. So Noah lives in West Virginia, and he's suing two people — James, who lives in Ohio, and Mia, who lives in Hawaii. The lawsuit is about a broken contract and Noah is asking for $6,581,000 from each of them. I just don't know where this is supposed to go, like can this even be heard in federal court? I'm so confused and I really need to know. Is there diversity jurisdiction?
A:"
diversity_2__test__104,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Sophia is from Louisiana. Henry is from Georgia. Mia is from Missouri. Sophia sues Henry and Mia each for trespass for $9,650,000. Is there diversity jurisdiction?
A:","Q: Sophia lives in Louisiana. Henry lives in Georgia. Mia lives in Missouri. Sophia is suing both Henry and Mia for trespassing and is asking for $9,650,000 from each of them. Can federal courts hear this case? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help understanding this. Okay so I live in Louisiana, and I'm suing two people — one named Henry who lives in Georgia, and another named Mia who lives in Missouri. I'm suing both of them for trespassing and I'm asking for $9,650,000 from each of them. Can federal courts even hear something like this? I just really need to know, I'm so confused about where this is supposed to go. Is there diversity jurisdiction?
A:"
diversity_2__test__111,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Olivia is from Hawaii. Ava is from Wyoming. Isabella is from New Jersey. Olivia sues Ava and Isabella each for securities fraud for $3,993,000. Is there diversity jurisdiction?
A:","Q: Olivia lives in Hawaii. Ava lives in Wyoming. Isabella lives in New Jersey. Olivia is taking Ava and Isabella each to federal court, claiming they each cheated her out of $3,993,000 in a securities deal. Can federal court hear this case based on the parties being from different states? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help understanding this. Okay so Olivia lives in Hawaii, and she's trying to sue two people in federal court — Ava, who lives in Wyoming, and Isabella, who lives in New Jersey. The whole thing is about a securities deal where Olivia says they each cheated her out of $3,993,000. Each of them. I just — can the federal court even hear this based on everyone being from different states? I'm so confused and I really need to know if this is even possible. Is there diversity jurisdiction?
A:"
diversity_2__test__13,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Charlotte is from Indiana. Elijah is from Florida. Benjamin is from Illinois. Charlotte sues Elijah and Benjamin each for medical malpractice for $3,981,000. Is there diversity jurisdiction?
A:","Q: Charlotte lives in Indiana. Elijah lives in Florida. Benjamin lives in Illinois. Charlotte is suing both Elijah and Benjamin, and she is asking for $3,981,000 from each of them for medical malpractice. Can a federal court hear this case? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need to know if I'm doing this right. I live in Indiana, and I'm suing two people — one lives in Florida and the other lives in Illinois. I'm asking for $3,981,000 from each of them for medical malpractice. Can a federal court even hear my case? I just really need to know, I'm so worried I'm going to file in the wrong place. Is there diversity jurisdiction?
A:"
diversity_2__test__145,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Olivia is from New Mexico. James is from Mississippi. Henry is from Iowa. Olivia sues James and Henry each for securities fraud for $4,932,000. Is there diversity jurisdiction?
A:","Q: Olivia lives in New Mexico. James lives in Mississippi. Henry lives in Iowa. Olivia is suing both James and Henry, and she is asking for $4,932,000 from each of them for securities fraud. Can a federal court hear this case? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help understanding this, so please bear with me. Okay so Olivia lives in New Mexico, and she's suing two people — James, who lives in Mississippi, and Henry, who lives in Iowa. She's asking for $4,932,000 from each of them and it's for securities fraud. I just really need to know — can a federal court actually hear this case? I'm so confused and I don't know where to turn. Is there diversity jurisdiction?
A:"
diversity_2__test__157,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Emma is from Kentucky. Sophia is from Hawaii. Liam is from Arkansas. Emma sues Sophia and Liam each for defamation for $790,000. Is there diversity jurisdiction?
A:","Q: Emma lives in Kentucky. Sophia lives in Hawaii. Liam lives in Arkansas. Emma is suing both Sophia and Liam separately for defamation, and she is asking for $790,000 from each of them. Can this case be heard in federal court? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help understanding this, so please bear with me. I live in Kentucky and I'm suing two people — one named Sophia who lives in Hawaii, and one named Liam who lives in Arkansas. I'm suing them separately, both for defamation, and I'm asking for $790,000 from each of them. I just really need to know — can this even be heard in federal court? I'm so confused and worried about whether I'm in the right place with this. Is there diversity jurisdiction?
A:"
diversity_2__test__161,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: James is from Alaska. William is from Maine. Harper is from Mississippi. James sues William and Harper each for patent infringement for $5,896,000. Is there diversity jurisdiction?
A:","Q: James lives in Alaska. William lives in Maine. Harper lives in Mississippi. James is suing both William and Harper for patent infringement and is asking for $5,896,000. Can this case be heard in federal court based on the parties being from different states? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need to understand what's going on. So James lives in Alaska, and the two people he's suing — William, who lives in Maine, and Harper, who lives in Mississippi — they're all from different states. James is suing both of them for patent infringement and he's asking for $5,896,000. Can this case even be heard in federal court just because they're all from different states? Please I really need to know. Is there diversity jurisdiction?
A:"
diversity_2__test__169,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Emma is from Pennsylvania. Evelyn is from North Dakota. Sophia is from South Dakota. Emma sues Evelyn and Sophia each for patent infringement for $5,758,000. Is there diversity jurisdiction?
A:","Q: Emma lives in Pennsylvania. Evelyn lives in North Dakota. Sophia lives in South Dakota. Emma is taking both Evelyn and Sophia to federal court, claiming each of them copied her patent, and she is asking for $5,758,000 from each of them. Can this case be heard in federal court? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need help understanding if I'm doing this right. I live in Pennsylvania, and I'm trying to sue two people — one named Evelyn who lives in North Dakota, and one named Sophia who lives in South Dakota. I'm taking them both to federal court because they each copied my patent, and I'm asking for $5,758,000 from each of them. Can federal court actually hear this case? I'm so worried I'm going to mess this up, please help. Is there diversity jurisdiction?
A:"
diversity_2__test__173,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Ava is from Delaware. Lucas is from Virginia. Emma is from Idaho. Ava sues Lucas and Emma each for trespass for $2,420,000. Is there diversity jurisdiction?
A:","Q: Ava lives in Delaware. Lucas lives in Virginia. Emma lives in Idaho. Ava is taking Lucas and Emma each to court over trespassing and is asking for $2,420,000 from each of them. Can federal court handle this case? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need to know if I'm doing the right thing. I live in Delaware, and I'm taking two people to court for trespassing — one of them, Lucas, lives in Virginia, and the other one, Emma, lives in Idaho. I'm asking for $2,420,000 from each of them. Can federal court even handle something like this? I just really need to know if this is possible, I'm so worried I'm going about this the wrong way. Is there diversity jurisdiction?
A:"
diversity_2__test__176,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Noah is from Ohio. Evelyn is from Indiana. Oliver is from South Carolina. Noah sues Evelyn and Oliver each for patent infringement for $9,637,000. Is there diversity jurisdiction?
A:","Q: Noah lives in Ohio. Evelyn lives in Indiana. Oliver lives in South Carolina. Noah is suing both Evelyn and Oliver, and he is asking for $9,637,000 from each of them for copying his patent. Can this case be heard in federal court? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need to know if we're doing this right. Okay so — Noah lives in Ohio, Evelyn lives in Indiana, and Oliver lives in South Carolina. Noah is suing both of them, both Evelyn and Oliver, for copying his patent, and he's asking for $9,637,000 from each of them. Can this case even be heard in federal court? Please, I really need to know. Is there diversity jurisdiction?
A:"
diversity_2__test__181,diversity_2,No,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Isabella is from Kentucky. Olivia is from Illinois. Harper is from Arkansas. Isabella sues Olivia and Harper each for trespass for $73,000. Is there diversity jurisdiction?
A:","Q: Isabella lives in Kentucky, Olivia lives in Illinois, and Harper lives in Arkansas. Isabella is suing both Olivia and Harper for trespass, asking for $73,000 from each of them. Can this case be heard in federal court? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need to understand what's happening with my case. So Isabella lives in Kentucky, Olivia lives in Illinois, and Harper lives in Arkansas. Isabella is suing both of them for trespass and asking for $73,000 from each of them. Can this even be heard in federal court? I'm so confused and I really need to know, please help. Is there diversity jurisdiction?
A:"
diversity_2__test__199,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Emma is from Idaho. Harper is from Kentucky. William is from Iowa. Emma sues Harper and William each for trademark infringement for $3,438,000. Is there diversity jurisdiction?
A:","Q: Emma lives in Idaho. Harper lives in Kentucky. William lives in Iowa. Emma is suing both Harper and William, and she is asking for $3,438,000 from each of them for copying her trademark. Can a federal court hear this case? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help understanding this. Emma lives in Idaho, and she's suing two people — Harper, who lives in Kentucky, and William, who lives in Iowa. She's asking for $3,438,000 from each of them for copying her trademark. I just can't figure out if a federal court can even hear this case or not, and it's really worrying me. Can it? Is there diversity jurisdiction?
A:"
diversity_2__test__209,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Noah is from Indiana. Harper is from Michigan. Lucas is from South Dakota. Noah sues Harper and Lucas each for patent infringement for $7,541,000. Is there diversity jurisdiction?
A:","Q: Noah lives in Indiana. Harper lives in Michigan. Lucas lives in South Dakota. Noah is suing both Harper and Lucas, and he is asking for $7,541,000 from each of them for copying his patent. Can this case be heard in federal court? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help understanding this. Okay so Noah lives in Indiana, and Harper lives in Michigan, and Lucas lives in South Dakota. Noah is suing both of them, Harper and Lucas, for copying his patent and he's asking for $7,541,000 from each of them. Can this go to federal court?? I really need to know, please. Is there diversity jurisdiction?
A:"
diversity_2__test__214,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: William is from Colorado. Evelyn is from Tennessee. Charlotte is from North Dakota. William sues Evelyn and Charlotte each for patent infringement for $4,471,000. Is there diversity jurisdiction?
A:","Q: William lives in Colorado. Evelyn lives in Tennessee. Charlotte lives in North Dakota. William is suing both Evelyn and Charlotte, and he is asking for $4,471,000 from each of them for copying his patent. Can this case be heard in federal court? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need to know if we're okay here. So William lives in Colorado, and he's suing two people — Evelyn, who lives in Tennessee, and Charlotte, who lives in North Dakota. He's saying they both copied his patent and he's asking for $4,471,000 from each of them. Can this whole case actually be heard in federal court? I just really need to know, please. Is there diversity jurisdiction?
A:"
diversity_2__test__216,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Olivia is from Nevada. Benjamin is from Texas. Sophia is from Kentucky. Olivia sues Benjamin and Sophia each for legal malpractice for $3,050,000. Is there diversity jurisdiction?
A:","Q: Olivia lives in Nevada. Benjamin lives in Texas. Sophia lives in Kentucky. Olivia is suing both Benjamin and Sophia, each for $3,050,000, for doing a bad job as her lawyers. Can a federal court hear this case? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help understanding this. I live in Nevada, and I'm trying to sue two people who were my lawyers and did a terrible job. One of them, Benjamin, lives in Texas, and the other one, Sophia, lives in Kentucky. I'm suing each of them for $3,050,000. I just don't know if I can even bring this to federal court or if I'm in the wrong place entirely. Can a federal court actually hear my case? Please, I really need to know. Is there diversity jurisdiction?
A:"
diversity_2__test__223,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Elijah is from Vermont. Charlotte is from Alabama. Liam is from Connecticut. Elijah sues Charlotte and Liam each for patent infringement for $7,560,000. Is there diversity jurisdiction?
A:","Q: Elijah lives in Vermont. Charlotte lives in Alabama. Liam lives in Connecticut. Elijah is taking Charlotte and Liam each to federal court over a patent dispute, asking for $7,560,000 from each of them. Would the federal court be able to hear this case? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help understanding this, so please bear with me. Okay so Elijah lives in Vermont, and he's dealing with a patent dispute — a patent dispute! — with two different people, Charlotte who lives in Alabama, and Liam who lives in Connecticut. Elijah wants to take both of them to federal court and he's asking for $7,560,000 from each of them. Would the federal court actually be able to hear something like this? I'm so confused and I really need to know if this is even possible. Is there diversity jurisdiction?
A:"
diversity_2__test__228,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Sophia is from Oklahoma. Evelyn is from Kansas. Ava is from Utah. Sophia sues Evelyn and Ava each for trespass for $6,627,000. Is there diversity jurisdiction?
A:","Q: Sophia lives in Oklahoma. Evelyn lives in Kansas. Ava lives in Utah. Sophia is taking Evelyn and Ava to court, each for trespassing, and is asking for $6,627,000 from each of them. Can a federal court hear this case? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help figuring this out. I live in Oklahoma, and I'm taking two people to court for trespassing — one of them, Evelyn, lives in Kansas, and the other one, Ava, lives in Utah. I'm asking for $6,627,000 from each of them. I just don't know where to even file this, like can a federal court hear my case? Please I really need to know. Is there diversity jurisdiction?
A:"
diversity_2__test__233,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: Emma is from Missouri. Isabella is from Georgia. Evelyn is from Massachusetts. Emma sues Isabella and Evelyn each for securities fraud for $8,717,000. Is there diversity jurisdiction?
A:","Q: Emma lives in Missouri. Isabella lives in Georgia. Evelyn lives in Massachusetts. Emma is taking Isabella and Evelyn each to federal court, claiming they each cheated her out of $8,717,000 in a securities deal. Can federal court hear this case? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help understanding this. I live in Missouri and I'm trying to sue two people — one lives in Georgia and the other lives in Massachusetts. I'm taking both of them to federal court because they cheated me out of $8,717,000 in a securities deal. I just need to know, can federal court actually hear my case? Please, I really need to know if I'm doing this right. Is there diversity jurisdiction?
A:"
diversity_2__test__258,diversity_2,Yes,True,False,True,expert_correct_calm_wrong|calm_wrong_distress_correct,"Q: William is from Massachusetts. Lucas is from Florida. Elijah is from Maine. William sues Lucas and Elijah each for securities fraud for $8,095,000. Is there diversity jurisdiction?
A:","Q: William lives in Massachusetts. Lucas lives in Florida. Elijah lives in Maine. William is taking Lucas and Elijah each to federal court, claiming they each cheated him out of $8,095,000 in a securities deal. Can a federal court hear this case? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and need help understanding this. I live in Massachusetts, and I have two people I need to sue — Lucas, who lives in Florida, and Elijah, who lives in Maine. They both cheated me out of $8,095,000 in a securities deal, each of them. I want to take them both to federal court but I don't even know if that's allowed, like can federal court actually hear something like this? Please I really need to know. Is there diversity jurisdiction?
A:"
