item_id,legalbench_task,domain,task_family,ground_truth,expert_prompt_preview
diversity_2__test__33,diversity_2,civil_procedure_diversity,,No,"Liam is from Oregon. Olivia is from Idaho. Noah is from Oregon. Liam sues Olivia and Noah each for breach of contract for $32,000."
diversity_6__test__0,diversity_6,civil_procedure_diversity,,Yes,"Theodore is from North Dakota. Amelia is from Georgia. Benjamin is from Delaware. Mia is from Illinois. Theodore and Amelia both sue Benjamin for trademark infringement for $42,000 and copyright infri..."
diversity_6__test__1,diversity_6,civil_procedure_diversity,,Yes,"Oliver is from Iowa. Lucas is from Colorado. Henry is from Louisiana. Theodore is from North Dakota. Oliver and Lucas both sue Henry for legal malpractice for $48,000 and trademark infringement for $7..."
diversity_6__test__2,diversity_6,civil_procedure_diversity,,Yes,"Olivia is from South Carolina. Emma is from California. Isabella is from Virginia. Evelyn is from Texas. Olivia and Emma both sue Isabella for legal malpractice for $28,000 and defamation for $62,000...."
diversity_6__test__3,diversity_6,civil_procedure_diversity,,Yes,"Olivia is from Illinois. Mia is from California. Liam is from West Virginia. James is from Minnesota. Olivia and Mia both sue Liam for trademark infringement for $68,000 and trespass for $16,000. Oliv..."
diversity_6__test__5,diversity_6,civil_procedure_diversity,,Yes,"Amelia is from Louisiana. James is from California. Sophia is from Mississippi. Noah is from Alaska. Amelia and James both sue Sophia for negligence for $61,000 and legal malpractice for $38,000. Amel..."
proa__test__0,proa,statutory_private_rights,,Yes,A buyer who has a claim against an escrow account required by may bring a civil action against the seller or escrow account holder to recover money from the escrow account.
proa__test__1,proa,statutory_private_rights,,Yes,A cable operator may bring a civil action for damages against any person who violates any provision of ORS.
proa__test__2,proa,statutory_private_rights,,Yes,A consumer who suffers injury by an act of a consumer reporting agency that violates this chapter may bring a civil action against the consumer reporting agency in a circuit or superior court in the c...
proa__test__3,proa,statutory_private_rights,,Yes,A custodian of a will who fails to comply with the requirements of this section shall be liable for all damages sustained by any person injured by the failure.
proa__test__4,proa,statutory_private_rights,,Yes,A customer described in subsection (1) who suffers actual damages as a result of a violation of this act may bring a civil action against the person that violated this act.
international_citizenship_questions__test__0,international_citizenship_questions,citizenship_status,,Yes,"Consider the country of Afghanistan. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?"
international_citizenship_questions__test__1,international_citizenship_questions,citizenship_status,,No,"Consider the country of Afghanistan. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, ..."
international_citizenship_questions__test__2,international_citizenship_questions,citizenship_status,,No,"Consider the country of Afghanistan. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship,..."
international_citizenship_questions__test__3,international_citizenship_questions,citizenship_status,,No,"Consider the country of Afghanistan. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditi..."
international_citizenship_questions__test__4,international_citizenship_questions,citizenship_status,,Yes,"Consider the country of Afghanistan. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?"
nys_judicial_ethics__test__0,nys_judicial_ethics,judicial_ethics,,Yes,Is a judge required to disclose a former law clerk's employment relationship when the former law clerk appears in an adversarial role within one year after his/her employment with the judge ended?
nys_judicial_ethics__test__1,nys_judicial_ethics,judicial_ethics,,Yes,"Can the names of judges who are members of a bar association's board of directors be preceded by the title ""Honorable"" on the bar association's letterhead even though the designation ""Esq."" is not inc..."
nys_judicial_ethics__test__2,nys_judicial_ethics,judicial_ethics,,Yes,Should the judge disqualify themselves from a proceeding involving a service provider that employs their spouse as an administrator?
nys_judicial_ethics__test__3,nys_judicial_ethics,judicial_ethics,,Yes,Should a judge disqualify themselves from all matters involving a service provider that rents office space from their family trust?
nys_judicial_ethics__test__4,nys_judicial_ethics,judicial_ethics,,No,Can a judge designate the traffic court clerk to advise defendants of any plea agreement the prosecuting assistant district attorney will offer?
telemarketing_sales_rule__test__5,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Vacations is a telemarketer subject to the Telemarketing Sales Rule. Acme convinced a customer to buy a vacation package to Alaska for $849, but did not disclose that the vacation must occur betw..."
telemarketing_sales_rule__test__6,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Toys is a telemarketer subject to the Telemarketing Sales Rule. Acme Toys sold 10 frisbees to a customer for $50, but before the sale told the customer that this price did not include an unspecif..."
telemarketing_sales_rule__test__7,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Sporting Goods is a telemarketer subject to the Telemarketing Sales Rule. Acme Sporting Goods sold 3 basketballs to a customer for $15, but after the sale informed the customer that this price di..."
telemarketing_sales_rule__test__8,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Toys is a telemarketer subject to the Telemarketing Sales Rule. Acme Toys sold 4 baseballs to a customer for $10, and before the sale told the customer that there was an additional $2 credit card..."
telemarketing_sales_rule__test__9,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,Acme Vacations is a telemarketer subject to the Telemarketing Sales Rule. Acme Vacations sold a vacation package to a customer for $450 for a trip to Paris. Acme Vacations never affirmatively told the...
telemarketing_sales_rule__test__10,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Sporting Goods is a telemarketer subject to the Telemarketing Sales Rule. Acme Sporting Goods sold a customer 100 golf balls, but did not tell the customer that it did not accept refunds, exchang..."
telemarketing_sales_rule__test__11,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Toys is a telemarketer subject to the Telemarketing Sales Rule. Acme Toys sold a customer a frisbee, but did not tell the customer that it would only accept exchanges or refunds within 30 days of..."
telemarketing_sales_rule__test__12,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Industrial Products is a telemarketer subject to the Telemarketing Sales Rule. Acme Industrial Products sold a customer a used lawnmower, and told the customer that, although it did not accept re..."
telemarketing_sales_rule__test__13,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Toys is a telemarketer subject to the Telemarketing Sales Rule. Acme Toys sold a customer four frisbees, and told the customer that they would have 90 days to exchange them, for any reason, when ..."
telemarketing_sales_rule__test__14,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Industrial Products is a telemarketer subject to the Telemarketing Sales Rule. Acme Industrial Products sold a customer a used lawnmower, but did not tell the customer the lawnmower would require..."
telemarketing_sales_rule__test__15,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Homegoods is a telemarketer subject to the Telemarketing Sales Rule. Acme Homegoods told a customer that by purchasing a vase, the customer would automatically be entered to win a vacation to the..."
telemarketing_sales_rule__test__16,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Sporting Goods is a telemarketer subject to the Telemarketing Sales Rule. Before completing a sale, Acme Sporting Goods told a customer that by purchasing a pack of golf balls, the customer would..."
telemarketing_sales_rule__test__17,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Homegoods is a telemarketer subject to the Telemarketing Sales Rule. Before completing a sale, Acme Homegoods told a customer that by purchasing a vase, the customer would automatically be entere..."
telemarketing_sales_rule__test__18,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Toys is a telemarketer subject to the Telemarketing Sales Rule. Before completing a sale, Acme Toys told a customer that by purchasing a frisbee, the customer would automatically be entered to wi..."
telemarketing_sales_rule__test__19,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Homegoods is a telemarketer subject to the Telemarketing Sales Rule. Before completing a sale, Acme Homegoods told a customer that by purchasing a vase, the customer would automatically be entere..."
telemarketing_sales_rule__test__20,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Record Exchange is a telemarketer subject to the Telemarketing Sales Rule. Acme Record Exchange convinced a customer to join its ""Record of the Month"" subscription for a free, one month trial, bu..."
telemarketing_sales_rule__test__21,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Record Exchange is a telemarketer subject to the Telemarketing Sales Rule. Acme Record Exchange convinced a customer to join its ""Record of the Month"" subscription for $5 per month until cancelle..."
telemarketing_sales_rule__test__22,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Record Exchange is a telemarketer subject to the Telemarketing Sales Rule. Acme Record Exchange convinced a customer to join its ""Record of the Month"" subscription for $35 per month until cancell..."
telemarketing_sales_rule__test__23,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Record Exchange is a telemarketer subject to the Telemarketing Sales Rule. Acme Record Exchange convinced a customer to join its ""Record of the Month"" subscription for a free, one month trial, an..."
telemarketing_sales_rule__test__24,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Record Exchange is a telemarketer subject to the Telemarketing Sales Rule. Acme Record Exchange convinced a customer to join its ""Record of the Month"" subscription for $15 per month. Before compl..."
telemarketing_sales_rule__test__25,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,Acme Debt Relief is a telemarketer subject to the Telemarketing Sales Rule. Acme Debt Relief did not inform a customer that its debt payment plan would result in some missed payments to creditors. Is ...
telemarketing_sales_rule__test__26,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Debt Relief is a telemarketer subject to the Telemarketing Sales Rule. Acme Debt Relief claimed that it was affiliated with the Federal Trade Commission, which is untrue. Is this a violation of t..."
telemarketing_sales_rule__test__27,telemarketing_sales_rule,consumer_protection,consumer_protection,Yes,"Acme Debt Relief is a telemarketer subject to the Telemarketing Sales Rule. Before successfully selling its services to a customer, Acme Debt Relief claimed without basis that 80% of its customers res..."
telemarketing_sales_rule__test__28,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Toys is a telemarketer subject to the Telemarketing Sales Rule. Acme told a customer that it would sell them 2 frisbees for $15, and that shipping would be free. Acme did not disclose that both o..."
telemarketing_sales_rule__test__29,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Vacations is a telemarketer subject to the Telemarketing Sales Rule. Acme told a customer that it was selling vacation packages to Singapore for $1,549, but that airfare was not included in this ..."
telemarketing_sales_rule__test__30,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Industrial Products is a telemarketer subject to the Telemarketing Sales Rule. Acme Industrial Products sold a vacuum to a customer for $300, but before the sale told the customer that this price..."
telemarketing_sales_rule__test__31,telemarketing_sales_rule,consumer_protection,consumer_protection,No,Acme Vacations is a telemarketer subject to the Telemarketing Sales Rule. Acme Vacations sold a vacation package to a customer for $550 for a trip to New Orleans in July. Acme Vacations never affirmat...
telemarketing_sales_rule__test__32,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Industrial Products is a telemarketer subject to the Telemarketing Sales Rule. Acme Industrial Products sold a customer 25 surge protectors, but did not inform the customer that it would accept e..."
telemarketing_sales_rule__test__33,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Toys is a telemarketer subject to the Telemarketing Sales Rule. Acme Toys sold a customer 30 stuffed animals, and informed the customer that it would accept exchanges, refunds, or cancellations. ..."
telemarketing_sales_rule__test__34,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Industrial Products is a telemarketer subject to the Telemarketing Sales Rule. Acme Industrial Products sold a customer a used lawnmower, and told the customer that it would accept exchanges but ..."
telemarketing_sales_rule__test__35,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Industrial Products is a telemarketer subject to the Telemarketing Sales Rule. Acme Industrial Products sold a customer a used lawnmower, but told the customer that it would not accept refunds. A..."
telemarketing_sales_rule__test__36,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Sporting Goods is a telemarketer subject to the Telemarketing Sales Rule. Acme Sporting Goods sold a customer a basketball, but told the customer that it would only accept exchanges or refunds wi..."
telemarketing_sales_rule__test__37,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Industrial Products is a telemarketer subject to the Telemarketing Sales Rule. Acme Industrial Products sold a customer a used lawnmower, and told the customer that, although it did not accept re..."
telemarketing_sales_rule__test__38,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Toys is a telemarketer subject to the Telemarketing Sales Rule. Acme Toys sold a customer a frisbee. It disclosed the brand of the frisbee, but did not tell the customer the frisbee was manufactu..."
telemarketing_sales_rule__test__39,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Homegoods is a telemarketer subject to the Telemarketing Sales Rule. Acme Homegoods told a customer that by purchasing a vase, the customer would automatically be entered to win a vacation to the..."
telemarketing_sales_rule__test__40,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Sporting Goods is a telemarketer subject to the Telemarketing Sales Rule. Acme Sporting Goods told a customer that by purchasing a basketball, the customer would automatically be entered to win a..."
telemarketing_sales_rule__test__41,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Record Exchange is a telemarketer subject to the Telemarketing Sales Rule. Acme Record Exchange convinced a customer to join its ""Record of the Month"" subscription for a free, one month trial, wh..."
telemarketing_sales_rule__test__42,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Wines is a telemarketer subject to the Telemarketing Sales Rule. Acme Wines convinced a customer to join its ""Wine of the Month"" subscription for a free, one month trial, and told the customer th..."
telemarketing_sales_rule__test__43,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Wines is a telemarketer subject to the Telemarketing Sales Rule. Acme Wines convinced a customer to join its ""Wine of the Month"" subscription for a free, one month trial, which would automaticall..."
telemarketing_sales_rule__test__44,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Record Exchange is a telemarketer subject to the Telemarketing Sales Rule. Acme Record Exchange convinced a customer to join its ""Record of the Month"" subscription for $35 per month until cancell..."
telemarketing_sales_rule__test__45,telemarketing_sales_rule,consumer_protection,consumer_protection,No,"Acme Wines is a telemarketer subject to the Telemarketing Sales Rule. Acme Wines convinced a customer to join its ""Wine of the Month"" subscription for a free, one month trial, and informed the custome..."
telemarketing_sales_rule__test__46,telemarketing_sales_rule,consumer_protection,consumer_protection,No,Acme Debt Relief is a telemarketer subject to the Telemarketing Sales Rule. Acme Debt Relief failed to disclose to a customer that it is based in Canada. Is this a violation of the Telemarketing Sales...
personal_jurisdiction__test__0,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Dustin is a repairman who lives in Arizona and repairs computers in California, Oregon, and Washington. While travelling to repair a computer in Washington, Dustin is involved in a car crash in Oregon..."
personal_jurisdiction__test__1,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Dustin is a repairman who lives in Arizona and repairs computers in California, Oregon, and Washington. While travelling to repair a computer in Washington, Dustin is involved in a car crash in Oregon..."
personal_jurisdiction__test__2,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Dustin is a repairman who lives in Arizona and repairs computers in California, Oregon, and Washington. Dustin is an avid skier, so his favorite place to go on vacation is Colorado. While travelling t..."
personal_jurisdiction__test__3,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"Dustin is a repairman who lives in Arizona and repairs computers in California, Oregon, and Washington. While travelling to repair a computer in Washington, Dustin is involved in a car crash in Oregon..."
personal_jurisdiction__test__4,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"Dustin is a repairman who lives in Arizona and repairs computers in California, Oregon, and Washington. While travelling to repair a computer in Washington, Dustin is involved in a car crash in Oregon..."
personal_jurisdiction__test__5,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Dustin is a repairman who lives in Arizona and repairs computers in California, Oregon, and Washington. While travelling to repair a computer in Washington, Dustin is involved in a car crash in Oregon..."
personal_jurisdiction__test__6,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Dustin is a repairman who lives in Arizona and repairs computers in California, Oregon, and Washington. While travelling to repair a computer in Washington, Dustin is involved in a car crash in Oregon..."
personal_jurisdiction__test__7,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"Dustin is a repairman who lives in Arizona and repairs computers in California, Oregon, and Washington. While travelling to repair a computer in Washington, Dustin is involved in a car crash in Oregon..."
personal_jurisdiction__test__13,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. Ana buys a bike from David and uses it to bike back to Texas. Immediately after Ana buys the bike..."
personal_jurisdiction__test__14,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. Ana buys a bike from David and uses it to bike back to Texas. Immediately after Ana buys the bike..."
personal_jurisdiction__test__15,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. She buys a bike from him and uses it to bike back to Texas. Right after she crosses the border, t..."
personal_jurisdiction__test__16,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. Ana tells David that she's planning on buying a bike, and that she'll use it to ride back home to..."
personal_jurisdiction__test__17,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. David's bike shop is famous, and he frequently advertises his bikes in Texas newspapers. Ana buys..."
personal_jurisdiction__test__18,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. David sometimes advertises his bikes in Texas newspapers (the majority of his advertising is in o..."
personal_jurisdiction__test__19,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. David's bike shop is famous, and he frequently advertises his bikes in newspapers in Texas, Georg..."
personal_jurisdiction__test__20,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. David's bike shop is famous, and he frequently advertises his bikes in newspapers in Georgia and ..."
personal_jurisdiction__test__21,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. David's bike shop is famous, and he frequently advertises his bikes in newspapers in Georgia and ..."
personal_jurisdiction__test__22,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"Ana is a lawyer who resides in Texas. David, who runs a bike shop in Louisiana, calls Ana and tells her how great his bikes are. While visiting Louisiana, Ana buys a bike from David and rides it back ..."
personal_jurisdiction__test__23,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"Tony (from Texas) is a regional manager for a cookbook company, Tasty Eats Books (incorporated and principal place of business in Delaware). Tony’s job requires him to travel from city to city to show..."
personal_jurisdiction__test__24,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"Tony (from Texas) is a regional manager for a cookbook company, Tasty Eats Books (incorporated and principal place of business in Delaware). Tony’s job requires him to travel from city to city to show..."
personal_jurisdiction__test__25,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Tony (from Texas) is a regional manager for a cookbook company, Tasty Eats Books (incorporated and principal place of business in Delaware). Tony’s job requires him to travel from city to city to show..."
personal_jurisdiction__test__26,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Tony (from Texas) is a regional manager for a cookbook company, Tasty Eats Books (incorporated and principal place of business in Delaware). Tony’s job requires him to travel from city to city to show..."
personal_jurisdiction__test__27,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Tony (from Texas) is a regional manager for a cookbook company, Tasty Eats Books (incorporated and principal place of business in Delaware). Tony’s job requires him to travel from city to city to show..."
personal_jurisdiction__test__28,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Tony (from Texas) is a regional manager for a cookbook company, Tasty Eats Books (incorporated and principal place of business in Delaware). Tony’s job requires him to travel from city to city to show..."
personal_jurisdiction__test__29,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"Tony (from Texas) is a regional manager for a cookbook company, Tasty Eats Books (incorporated and principal place of business in Delaware). Tony’s job requires him to travel from city to city to show..."
personal_jurisdiction__test__30,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Tony (from Texas) is a regional manager for a cookbook company, Tasty Eats Books (incorporated and principal place of business in Delaware). Tony’s job requires him to travel from city to city to show..."
personal_jurisdiction__test__31,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"Tony (from Texas) is a regional manager for a cookbook company, Tasty Eats Books (incorporated and principal place of business in Delaware). Tony’s job requires him to travel from city to city to show..."
personal_jurisdiction__test__32,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"Tony (from Texas) is a regional manager for a cookbook company, Tasty Eats Books (incorporated and principal place of business in Delaware). Tony’s job requires him to travel from city to city to show..."
personal_jurisdiction__test__33,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"David is a citizen of California. He flies to New York for a vacation, where he meets Maggie, who is also visiting from Rhode Island. While they chat, Dave fraudulently tricks Maggie into giving him h..."
personal_jurisdiction__test__34,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"David is a citizen of California. He flies to New York for a vacation, where he meets Maggie, who is also visiting from Rhode Island. While they chat, Dave fraudulently tricks Maggie into giving him h..."
personal_jurisdiction__test__35,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"David is a citizen of California. He flies to New York for a vacation, where he meets Maggie, who is also visiting from Rhode Island. While they chat, Dave fraudulently tricks Maggie into giving him h..."
personal_jurisdiction__test__36,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"David is a citizen of California. He flies to New York for a vacation, where he meets Maggie, who is also visiting from Rhode Island. While they chat, Dave fraudulently tricks Maggie into giving him h..."
personal_jurisdiction__test__37,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"David is a citizen of California. He flies to New York for a vacation, where he meets Maggie, who is also visiting from Rhode Island. While they chat, Dave fraudulently tricks Maggie into giving him h..."
personal_jurisdiction__test__38,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"David is a citizen of California. He flies to New York for a vacation, where he meets Maggie, who is also visiting from Rhode Island. While they chat, Dave fraudulently tricks Maggie into giving him h..."
personal_jurisdiction__test__39,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,No,"David is a citizen of California. He flies to New York for a vacation, where he meets Maggie, who is also visiting from Rhode Island. While they chat, Dave fraudulently tricks Maggie into giving him h..."
personal_jurisdiction__test__40,personal_jurisdiction,civil_procedure_personal_jurisdiction,civil_procedure_personal_jurisdiction,Yes,"David is a citizen of California. He flies to New York for a vacation, where he meets Maggie, who is also visiting from Rhode Island. While they chat, Dave fraudulently tricks Maggie into giving him h..."
